      85-5,51168919678000E-0-8,33285816285000E-0-4,29833730510000E-04,64636630566426E-0
      867,98329973753000E-01-1,17363005774000E-0-5,90673495159000E-04,92342318747366E-0
      876,66672205442000E-01-4,99197463397000E-0-5,53488990883000E-05,40071036990061E-0
      881,39299018326000E-018,74322323067000E-014,64926078942000E-014,71461428670492E-0
      89-1,60980028082000E-07,48679478275000E-016,43089783287000E-014,71601013952786E-0
      901,77491076530000E-02-9,62133269905000E-02,72000992866000E-014,80452710284917E-0
      914,91151072993000E-01-5,75190192392000E-06,54161192730000E-014,65271816524777E-0
      92-6,64596907735000E-0-2,29529258128000E-0-7,11074728767000E-05,13570192217370E-0
      935,27251809660000E-02-5,96544047424000E-08,00846586291000E-014,99031105580450E-0
      94-3,36971277600000E-09,89433121221000E-01-1,41019864603000E-05,12197265128604E-0
      959,06752153731000E-012,56195067722000E-01-3,34909866947000E-05,15495498975201E-0
      968,87088418043000E-01-4,07706226979000E-02,16448079356000E-014,67644601643127E-0
      979,01796054830000E-02-8,14454200933000E-0-5,73177104687000E-04,96146631573427E-0
      988,27033437099000E-015,01999574632000E-012,53006167890000E-014,82368871915355E-0
      993,94115328561000E-01-4,24546627965000E-08,15127762058000E-014,63420986446631E-0
     100-8,78677753867000E-0-4,74339533940000E-05,41055579460000E-025,03153160177962E-0
     101-2,31983347647000E-05,84650935171000E-017,77410451703000E-014,87406121193922E-0
     102-7,37076734723000E-0-1,19222631146000E-06,65209629630000E-014,76431393855686E-0
     1031,12202898159000E-01-2,14924748285000E-09,70163832669000E-015,03937560958998E-0
     104-6,66838166582000E-07,42215506307000E-01-6,66558458550000E-05,04840583472868E-0
     105-2,04582592053000E-0-3,12511865900000E-0-9,27621850056000E-04,94362271364797E-0
     1064,98631589373000E-01-8,61789819580000E-0-9,31925155130000E-04,43683958331025E-0
     1077,95495364787000E-01-5,94279429469000E-01,18402214135000E-015,28678926422436E-0
     108-1,07211722060000E-05,99497255568000E-018,00305002504000E-014,63002117535347E-0
     1095,33493973258000E-016,14619080186000E-01-5,81057283552000E-04,50928765067288E-0
     110-7,11289696806000E-03,19878453693000E-016,25895152626000E-014,68290571438348E-0
     111-9,69630512269000E-08,67124580600000E-02-2,28686727413000E-05,16800631230700E-0
     112-4,82611998602000E-02,67663661507000E-01-8,33931545820000E-05,01198263027594E-0
     1137,24043048826000E-018,37409848400000E-02-6,84652547578000E-05,19186533450971E-0
     114-1,26020333737000E-09,30237790295000E-01-3,44639708959000E-04,75055779630626E-0
     115-7,03268832960000E-0-1,00893901115000E-0-9,92408459357000E-04,46715971600705E-0
     116-7,58472951984000E-0-3,67843865680000E-0-6,50665574633000E-04,70775451534234E-0
     117-1,23446922553000E-0-9,81914840627000E-0-1,43541293952000E-04,94090066121766E-0
     118-3,21857289838000E-06,59313413214000E-01-6,79495186248000E-04,90144040647221E-0
     1191,12304730497000E-01-4,99402779629000E-0-8,59060248881000E-04,88382654261228E-0
     1207,53599065560000E-01-5,58129721526000E-03,47245824072000E-014,84425498457170E-0
     1215,71916027440000E-01-6,82003558689000E-0-4,55832429181000E-04,53438876104992E-0
     1224,50206487301000E-018,88237405817000E-01-9,13697417090000E-04,76589570136972E-0
     123-1,36205108029000E-0-8,24082185779000E-0-5,49851543262000E-04,60120766297809E-0
     1249,61944707262000E-013,40430052660000E-02-2,71115204229000E-04,83547156402008E-0
     1255,76484644066000E-01-6,75842911445000E-04,59240475356000E-015,27464371357424E-0
     1262,93119301871000E-014,02091384890000E-018,67412008833000E-014,66152903515379E-0
     1274,47836396605000E-017,73227950244000E-01-4,48955564435000E-04,93444993834697E-0
     1283,28047598732000E-01-7,81637777048000E-0-5,30497086191000E-05,25642777671192E-0
     1298,35797650954000E-011,53602030094000E-015,27113557983000E-014,65060131322608E-0
     130-8,50047653597000E-03,06564332475000E-014,28295805102000E-015,12934450455657E-0
     1313,68022578358000E-018,42157899657000E-013,94118578430000E-015,43993862547366E-0
     132-8,39148004395000E-05,36096392167000E-01-9,18220290830000E-04,75455256120099E-0
     133-6,18788937351000E-0-5,54192883326000E-0-5,56749943047000E-04,89158176891695E-0
     134-9,23751292920000E-08,76658638181000E-014,72161484655000E-014,88286674734355E-0
     1357,53763217185000E-01-5,57024452642000E-0-3,48661399609000E-04,71747822529503E-0
     136-9,35884167900000E-03,14180957288000E-01-1,59408752431000E-04,98021338011686E-0
     137-5,45859553498000E-0-4,20766049338000E-0-7,24564199763000E-04,88253228723850E-0
