$ 900 Point Integration Scheme

$ Collums: Node id x y z weight
220 6.60969748707000E-01 -3.29937188980000E-02 7.49686871839000E-01 1.79541660743989E-02
221 9.28672889172000E-01 3.12332190510000E-01 -2.00038165581000E-01 1.49986061955981E-02
222 -5.47704232286000E-01 4.12497518835000E-01 -7.27918862848000E-01 1.34732283490562E-02
223 5.77418163658000E-01 -4.69416470036000E-01 6.68009312762000E-01 1.96899861254018E-02
224 8.30354141390000E-01 -5.40838602959000E-01 -1.34184967213000E-01 1.42100433946321E-02
225 3.96094341677000E-01 -8.22224763212000E-01 -4.08724493091000E-01 1.47690339528562E-02
226 4.29856477420000E-02 -9.30873923760000E-01 3.62802938456000E-01 1.06544892186101E-02
227 9.21380372599000E-01 -1.45899900516000E-01 -3.60238015787000E-01 1.16953719404076E-02
228 4.46394847427000E-01 4.34357693728000E-01 7.82345853245000E-01 1.70712084658335E-02
229 8.61824515650000E-02 -9.93096647459000E-01 -7.95715643210000E-02 1.83996168326717E-02
230 5.23039467220000E-01 -6.72359428819000E-01 5.23796252572000E-01 9.69240122727908E-03
231 9.03057901300000E-01 8.89572052030000E-02 4.20205952531000E-01 1.63993186395414E-02
232 1.56597721998000E-01 8.42621424531000E-01 5.15234207315000E-01 2.12075342505202E-02
233 -7.19403124265000E-01 -6.86571794229000E-01 1.05253580305000E-01 1.63404500399670E-02
234 -7.46491005479000E-01 5.07384310592000E-01 4.30479198225000E-01 1.42772373806268E-02
235 -9.93593457936000E-01 -2.38448895750000E-02 -1.10469278933000E-01 1.49414055427226E-02
236 -1.01077920215000E-01 9.88313390915000E-01 1.14104756178000E-01 1.51893573254426E-02
237 -8.86751495290000E-02 6.06928019329000E-01 7.89794338552000E-01 9.77672185907521E-03
238 4.36038735213000E-01 6.88720986589000E-01 5.79252642657000E-01 1.38585676285025E-02
239 -3.78884634216000E-01 -6.74150245858000E-01 6.34009368988000E-01 3.73427839472108E-03
240 -6.26498637029000E-01 -7.67947205705000E-01 -1.33253694321000E-01 1.52943312769292E-02
241 4.06186134016000E-01 -8.67091100491000E-01 -2.88384895553000E-01 1.12449144517305E-02
242 -6.88463910568000E-01 -7.23932272465000E-01 -4.40398538730000E-02 1.32302584672792E-02
243 2.80627074434000E-01 8.05783603711000E-01 -5.21499021174000E-01 1.86904031720965E-02
244 1.53737366665000E-01 6.93561432561000E-01 -7.03802075412000E-01 9.50121841174489E-03
245 1.99365964393000E-01 8.90610414744000E-01 4.08737447992000E-01 8.25591852116960E-03
246 -1.82049246480000E-02 5.44976834261000E-01 -8.38253440695000E-01 1.31390746010260E-02
247 -6.81550334668000E-01 -6.90775700315000E-01 2.41491352159000E-01 1.83916762703523E-02
248 -5.37587823785000E-01 -5.55222292459000E-01 -6.34608176495000E-01 1.72901381442618E-02
249 9.09898303240000E-02 9.71515137830000E-01 -2.18813134307000E-01 1.70250268504606E-02
250 3.79989622671000E-01 -9.22135766524000E-01 7.26189697010000E-02 1.32927192697364E-02
251 5.66597174596000E-01 -2.11384125400000E-03 8.23992216842000E-01 9.52805698571788E-03
252 1.84414097430000E-02 9.44764573460000E-01 3.27230522936000E-01 6.85281143153299E-03
253 3.45814825271000E-01 2.49588326276000E-01 9.04498631292000E-01 1.68840242551584E-02
254 8.74283374514000E-01 4.04576594439000E-01 -2.68228186961000E-01 1.42162685873703E-02
255 3.99802428761000E-01 3.44402780137000E-01 8.49437898255000E-01 9.76756600465706E-03
256 9.63220672283000E-01 -5.72195116450000E-02 2.62548783988000E-01 1.54268880172752E-02
257 -9.94897296922000E-01 3.57728667940000E-02 9.43380653760000E-02 1.50613488766806E-02
258 -1.56714993068000E-01 -9.87001810769000E-01 -3.56066916000000E-02 1.02639881184232E-02
259 -9.27069069789000E-01 -2.25672399208000E-01 2.99357492099000E-01 1.03516403946573E-02
260 -2.38903394940000E-01 -7.28159342239000E-01 -6.42424423724000E-01 1.23542298939782E-02
261 -2.37933816645000E-01 -5.65566766505000E-01 -7.89633922474000E-01 1.15000247310245E-02
262 -4.86829202841000E-01 2.04038379062000E-01 -8.49332483266000E-01 1.08221681754685E-02
263 1.26732104243000E-01 -8.88242067541000E-01 4.41548415470000E-01 1.00816313925606E-02
264 3.80892736307000E-01 -8.40044165098000E-01 3.86324376805000E-01 1.49486058901950E-02
265 -8.53815222246000E-01 1.94312669544000E-01 4.82951501411000E-01 1.20936224889390E-02
266 7.07500645964000E-01 5.51939817248000E-01 4.41367504577000E-01 1.80677776524792E-02
267 5.93607703844000E-01 4.99787786459000E-01 6.30747225474000E-01 1.84677092048637E-02
268 -2.10801429753000E-01 5.82844530920000E-01 7.84764302189000E-01 7.41019620951756E-03
269 -3.59983711124000E-01 -5.42500531109000E-01 -7.59015745207000E-01 1.67610470893473E-02
270 7.01453114467000E-01 6.30255410145000E-01 3.32778674479000E-01 1.72054205333895E-02
271 -9.28865830610000E-01 -3.49571013193000E-01 -1.22508675043000E-01 1.05561847294146E-02
272 7.77324035743000E-01 5.28910387717000E-01 3.40618768157000E-01 9.23631223319547E-03
